policy,alpha,coverage,population_risk,selective_risk,n,guarantee_met,share_shap,share_ig,crc_threshold,dataset,architecture,seed
cse,0.05,0.075,0.0096875,0.12916666666666668,40,True,0.0,1.0,0.18740591406822205,support2,mlp,0
fixed_shap,0.05,1.0,0.515625,0.515625,40,False,1.0,0.0,0.18740591406822205,support2,mlp,0
fixed_ig,0.05,1.0,0.5134375,0.5134375,40,False,0.0,1.0,0.18740591406822205,support2,mlp,0
random,0.05,1.0,0.49874999999999997,0.49874999999999997,40,False,0.425,0.575,0.18740591406822205,support2,mlp,0
uncertainty_gating,0.05,0.075,0.0325,0.43333333333333335,40,True,0.0,1.0,0.18740591406822205,support2,mlp,0
oracle,0.05,0.075,0.0084375,0.1125,40,True,0.0,1.0,0.18740591406822205,support2,mlp,0
cse,0.1,0.375,0.11625,0.30999999999999994,40,False,0.13333333333333333,0.8666666666666667,0.2907851040363312,support2,mlp,0
fixed_shap,0.1,1.0,0.515625,0.515625,40,False,1.0,0.0,0.2907851040363312,support2,mlp,0
fixed_ig,0.1,1.0,0.5134375,0.5134375,40,False,0.0,1.0,0.2907851040363312,support2,mlp,0
random,0.1,1.0,0.49874999999999997,0.49874999999999997,40,False,0.425,0.575,0.2907851040363312,support2,mlp,0
uncertainty_gating,0.1,0.375,0.1921875,0.5125,40,False,0.0,1.0,0.2907851040363312,support2,mlp,0
oracle,0.1,0.375,0.095,0.25333333333333335,40,True,0.2,0.8,0.2907851040363312,support2,mlp,0
cse,0.15,0.475,0.1565625,0.32960526315789473,40,False,0.15789473684210525,0.8421052631578947,0.3338421583175659,support2,mlp,0
fixed_shap,0.15,1.0,0.515625,0.515625,40,False,1.0,0.0,0.3338421583175659,support2,mlp,0
fixed_ig,0.15,1.0,0.5134375,0.5134375,40,False,0.0,1.0,0.3338421583175659,support2,mlp,0
random,0.15,1.0,0.49874999999999997,0.49874999999999997,40,False,0.425,0.575,0.3338421583175659,support2,mlp,0
uncertainty_gating,0.15,0.475,0.24093749999999997,0.5072368421052631,40,False,0.0,1.0,0.3338421583175659,support2,mlp,0
oracle,0.15,0.475,0.1359375,0.28618421052631576,40,True,0.3157894736842105,0.6842105263157895,0.3338421583175659,support2,mlp,0
cse,0.2,0.625,0.23500000000000001,0.3760000000000001,40,False,0.32,0.68,0.41846540570259094,support2,mlp,0
fixed_shap,0.2,1.0,0.515625,0.515625,40,False,1.0,0.0,0.41846540570259094,support2,mlp,0
fixed_ig,0.2,1.0,0.5134375,0.5134375,40,False,0.0,1.0,0.41846540570259094,support2,mlp,0
random,0.2,1.0,0.49874999999999997,0.49874999999999997,40,False,0.425,0.575,0.41846540570259094,support2,mlp,0
uncertainty_gating,0.2,0.625,0.30656249999999996,0.49050000000000005,40,False,0.0,1.0,0.41846540570259094,support2,mlp,0
oracle,0.2,0.625,0.20843749999999997,0.3335,40,False,0.4,0.6,0.41846540570259094,support2,mlp,0
cse,0.3,0.725,0.2890625,0.39870689655172414,40,True,0.3793103448275862,0.6206896551724138,0.5367782115936279,support2,mlp,0
fixed_shap,0.3,1.0,0.515625,0.515625,40,False,1.0,0.0,0.5367782115936279,support2,mlp,0
fixed_ig,0.3,1.0,0.5134375,0.5134375,40,False,0.0,1.0,0.5367782115936279,support2,mlp,0
random,0.3,1.0,0.49874999999999997,0.49874999999999997,40,False,0.425,0.575,0.5367782115936279,support2,mlp,0
uncertainty_gating,0.3,0.725,0.3609375,0.49784482758620696,40,False,0.0,1.0,0.5367782115936279,support2,mlp,0
oracle,0.3,0.725,0.2628125,0.36250000000000004,40,True,0.4827586206896552,0.5172413793103449,0.5367782115936279,support2,mlp,0
