test_instance_id,sigma_squared,uncertainty_stratum
529,0.003544485,HIGH
850,0.00207581,HIGH
905,0.0018347801,HIGH
1029,0.0025683686,HIGH
1041,0.0018428537,HIGH
1148,0.003343003,HIGH
1534,0.0024292986,HIGH
1923,0.0018132821,HIGH
2049,0.0024297782,HIGH
2147,0.0028104163,HIGH
2216,0.005180365,HIGH
2276,0.0024655822,HIGH
2698,0.002917192,HIGH
2877,0.0028956842,HIGH
3105,0.0035026746,HIGH
3227,0.003202701,HIGH
3681,0.0022297576,HIGH
4423,0.00214456,HIGH
4814,0.002752987,HIGH
4914,0.002019463,HIGH
5270,0.0020723217,HIGH
5467,0.0020577158,HIGH
5686,0.002881771,HIGH
5860,0.002165618,HIGH
6084,0.002338271,HIGH
6129,0.002498665,HIGH
6317,0.0019943614,HIGH
6712,0.0029050305,HIGH
6766,0.0028202746,HIGH
6941,0.002237073,HIGH
7084,0.0020228324,HIGH
7345,0.002085691,HIGH
7434,0.001920471,HIGH
7441,0.0021282178,HIGH
7465,0.002608656,HIGH
7531,0.0022962608,HIGH
7610,0.0023126726,HIGH
7786,0.0023877248,HIGH
8060,0.0022201543,HIGH
8334,0.0020731587,HIGH
8489,0.0022415912,HIGH
8550,0.004083573,HIGH
8605,0.0019517846,HIGH
8964,0.001982924,HIGH
9008,0.0021482534,HIGH
9096,0.002173777,HIGH
9471,0.0028052125,HIGH
9796,0.0020464223,HIGH
10185,0.002010685,HIGH
10362,0.0037796001,HIGH
10526,0.0042868895,HIGH
10737,0.002853331,HIGH
10756,0.002188509,HIGH
10894,0.0023060679,HIGH
11000,0.0024582404,HIGH
11114,0.0043069553,HIGH
11332,0.0025060277,HIGH
11705,0.0037619441,HIGH
11843,0.0019848745,HIGH
11992,0.0021552413,HIGH
12007,0.00197837,HIGH
12255,0.0020455658,HIGH
12333,0.0026367723,HIGH
13208,0.001959203,HIGH
13830,0.0019294453,HIGH
13871,0.0022722236,HIGH
14510,0.0018146412,HIGH
14822,0.0026827639,HIGH
14925,0.0026997505,HIGH
15352,0.002560997,HIGH
15364,0.0023928597,HIGH
15567,0.0030312573,HIGH
16228,0.0023505792,HIGH
16254,0.005015005,HIGH
16255,0.001922517,HIGH
16283,0.0020822661,HIGH
16508,0.0030179943,HIGH
16710,0.0018048171,HIGH
16768,0.0018087409,HIGH
17024,0.001841489,HIGH
17124,0.0032563584,HIGH
17569,0.0018980097,HIGH
17581,0.0019474633,HIGH
17899,0.0021091937,HIGH
17943,0.0021397742,HIGH
18002,0.0020829765,HIGH
18059,0.0018094414,HIGH
18507,0.0019142168,HIGH
18574,0.0025823098,HIGH
18656,0.0025754839,HIGH
18770,0.0026280263,HIGH
19199,0.0048251846,HIGH
19302,0.0028651548,HIGH
19327,0.0025282227,HIGH
19546,0.002072223,HIGH
20030,0.0028809155,HIGH
20156,0.0018412351,HIGH
20310,0.0022861576,HIGH
20450,0.0033617355,HIGH
20473,0.0024456726,HIGH
20696,0.0019598193,HIGH
20810,0.002009336,HIGH
20918,0.002399764,HIGH
21361,0.004983044,HIGH
21703,0.0020146368,HIGH
21741,0.0024078388,HIGH
21856,0.0035245204,HIGH
21940,0.006391726,HIGH
22100,0.0035242995,HIGH
22612,0.0018531425,HIGH
22968,0.0023505345,HIGH
23661,0.0021690456,HIGH
23870,0.001960469,HIGH
24012,0.0019176409,HIGH
24151,0.0018182491,HIGH
24190,0.0029919283,HIGH
24207,0.001975076,HIGH
24341,0.0048800968,HIGH
24352,0.0033243308,HIGH
24393,0.001925097,HIGH
24424,0.0027035142,HIGH
24474,0.002263314,HIGH
24487,0.002958457,HIGH
24539,0.0060969647,HIGH
24684,0.0044419896,HIGH
24695,0.0032296188,HIGH
24869,0.0026041954,HIGH
24897,0.0023101866,HIGH
25089,0.0026048156,HIGH
25222,0.0018925719,HIGH
25400,0.0024915277,HIGH
25596,0.002442023,HIGH
26014,0.0024348218,HIGH
26073,0.0034345698,HIGH
26084,0.003010737,HIGH
26166,0.001978393,HIGH
26247,0.0031150721,HIGH
26302,0.0019864803,HIGH
26607,0.0019328878,HIGH
26861,0.0018704569,HIGH
26884,0.0023533166,HIGH
27121,0.0021364077,HIGH
27723,0.001876686,HIGH
27790,0.0035770265,HIGH
27950,0.0051624225,HIGH
28704,0.0020123334,HIGH
28839,0.0018024433,HIGH
29526,0.0028924725,HIGH
29544,0.0024058053,HIGH
29683,0.0020434149,HIGH
29960,0.0025416443,HIGH
29961,0.004408318,HIGH
30007,0.0024449395,HIGH
30011,0.0025308065,HIGH
30128,0.002273199,HIGH
30147,0.0021046158,HIGH
30154,0.0024960344,HIGH
30313,0.0024946544,HIGH
30541,0.0018780134,HIGH
30556,0.0030832444,HIGH
30620,0.0031216457,HIGH
30743,0.0021858786,HIGH
30855,0.0023096649,HIGH
30986,0.0031757804,HIGH
31172,0.0030368713,HIGH
31366,0.0028509367,HIGH
31456,0.0018011691,HIGH
31571,0.0027655638,HIGH
31741,0.002504022,HIGH
31897,0.0020750768,HIGH
31953,0.0022606968,HIGH
31966,0.0018623587,HIGH
32009,0.0026353262,HIGH
32228,0.0031588874,HIGH
32641,0.0021028728,HIGH
32912,0.0018449804,HIGH
33511,0.0023831157,HIGH
33665,0.0021285415,HIGH
33710,0.0025797263,HIGH
33806,0.0019773752,HIGH
33999,0.004023723,HIGH
34351,0.001982026,HIGH
35002,0.002314954,HIGH
35063,0.0024357322,HIGH
35345,0.0061027324,HIGH
35397,0.0036033501,HIGH
35573,0.0022020792,HIGH
35828,0.0021073718,HIGH
35919,0.0022813613,HIGH
35976,0.0028708482,HIGH
35985,0.0072461828,HIGH
36124,0.001953452,HIGH
36132,0.007962513,HIGH
36355,0.0031894054,HIGH
36635,0.0021657145,HIGH
36689,0.0019383072,HIGH
37207,0.0021331604,HIGH
37370,0.0020960749,HIGH
37725,0.0021161581,HIGH
37775,0.0025405802,HIGH
481,0.00074822956,LOW
860,0.0009853633,LOW
904,3.3460652e-05,LOW
1073,0.0001025785,LOW
1087,0.0010010562,LOW
1223,0.00026254682,LOW
1641,0.0010102596,LOW
1957,0.00014118353,LOW
2014,0.00087444164,LOW
2130,0.00049659755,LOW
2231,0.00016849882,LOW
2265,0.0006747049,LOW
2638,0.00033063447,LOW
2887,9.0070125e-06,LOW
3102,0.0007676697,LOW
3241,0.00093295926,LOW
3649,0.000957285,LOW
4240,0.0003289152,LOW
4623,0.00066042435,LOW
4697,0.00070992217,LOW
5060,0.0007696445,LOW
5303,0.0008440509,LOW
5556,0.0009839511,LOW
5723,0.00044360038,LOW
5934,0.00082369766,LOW
5982,2.288682e-06,LOW
6222,0.00049468264,LOW
6664,0.0008524466,LOW
6718,1.3803509e-05,LOW
6878,0.00035539444,LOW
6995,1.5344054e-05,LOW
7303,0.00089574646,LOW
7392,0.0008370414,LOW
7409,0.00089449243,LOW
7429,0.00082137965,LOW
7500,0.00037116406,LOW
7578,8.8766334e-05,LOW
7777,0.0007773556,LOW
8091,0.0009577732,LOW
8282,0.0004247927,LOW
8421,7.358938e-05,LOW
8482,0.00014859822,LOW
8534,0.00022586278,LOW
8903,0.0005900273,LOW
8956,0.0007412136,LOW
9097,0.0003375111,LOW
9450,0.00072257424,LOW
9823,0.00037796044,LOW
10153,4.4569344e-05,LOW
10370,0.00027441632,LOW
10477,0.00054756313,LOW
10655,0.000989787,LOW
10678,0.0009886393,LOW
10779,0.0001637704,LOW
10890,0.00021970407,LOW
10966,0.0009285295,LOW
11179,0.00021572766,LOW
11571,0.0005335547,LOW
11706,0.000980261,LOW
11827,0.0007204768,LOW
11840,0.00051815674,LOW
12046,0.00019309019,LOW
12137,0.0008168722,LOW
12992,0.00077629974,LOW
13631,0.00018769446,LOW
13675,8.56692e-05,LOW
14352,0.0008063097,LOW
14603,0.00038375845,LOW
14710,0.0006759243,LOW
15122,0.00072132057,LOW
15135,0.00075529836,LOW
15314,0.0010029665,LOW
15871,0.00095271936,LOW
15892,0.00015831654,LOW
15894,5.3993263e-05,LOW
15930,0.00046767623,LOW
16138,0.00014499474,LOW
16335,0.00068969023,LOW
16397,4.023682e-05,LOW
16621,9.634587e-05,LOW
16707,0.0008200367,LOW
17121,0.0005829533,LOW
17142,0.00065980473,LOW
17411,0.00031031933,LOW
17468,0.0003256171,LOW
17551,2.8991515e-05,LOW
17603,0.00041566347,LOW
18042,0.0006543935,LOW
18089,4.02762e-06,LOW
18155,9.496743e-05,LOW
18251,0.00012281894,LOW
18640,0.0003700405,LOW
18731,0.00029165504,LOW
18747,0.00097025494,LOW
18933,0.00056282093,LOW
19424,0.00018543309,LOW
19558,0.00021691994,LOW
19769,0.0008685574,LOW
19929,0.00034038787,LOW
19943,0.00091393775,LOW
20198,0.0009630638,LOW
20332,0.00071988074,LOW
20454,0.00057864434,LOW
20866,0.00044644275,LOW
21142,0.0009406053,LOW
21178,0.0008712068,LOW
21326,0.00072155934,LOW
21403,0.0010195776,LOW
21574,0.00037876127,LOW
22087,2.423077e-05,LOW
22413,0.0009843983,LOW
23155,0.00043736532,LOW
23414,0.00038646453,LOW
23578,0.0002267142,LOW
23727,0.00037625324,LOW
23761,0.0008365822,LOW
23774,0.00019044739,LOW
23952,0.00014614676,LOW
23972,6.1027804e-06,LOW
24016,0.00038604296,LOW
24036,0.00084237027,LOW
24100,0.00031690006,LOW
24113,0.0009822247,LOW
24184,0.00037369292,LOW
24314,0.000760899,LOW
24336,0.00053266843,LOW
24534,0.0009876594,LOW
24550,0.0007992495,LOW
24815,6.36474e-05,LOW
24951,0.00020579356,LOW
25146,0.00014274579,LOW
25351,0.0003667384,LOW
